Company,Address,Postal Code,City,Country,Phone
PUCE ET PLUS,MÜNSTERGASSE 32,3011,BERN,CH,
Jules Unique,Helvetiastrasse 7,3005,Bern,CH,
VESTIAIRE NUMERO 5,rue de Conthey 5,1950,Sion,CH,
THE HOME SHOP,RAIN 14,5000,AARAU,CH,
Sonego Lugano,Via Pietro Peri 16,6900,Lugano,CH,
COUCOU LES BELLES,SEESTRASSE 26,8802,KILCHBERG,CH,
Rejane Rosenberger,Zürichstrasse 89,8700,Küsnacht / Zurich,CH,
MAHSOONI GMBH,GERBERGÄSSLEIN 2,4051,Basel,CH,
INSIDE,BELLIKERSTRASSE 9,8965,BERIKON,CH,
Little Copenhagen GmbH,Dorfmärit 14,3065,Bolligen,CH,
Kyori gmbh,Marktgasse 4,5620,Bremgarten,CH,
Accessoires Cuir,Marktgasse 28,4310,Rheinfelden,CH,
Naked Basel,Henric-Petri-Strasse 30,4051,Basel,CH,
Anderswo Concept Store,Wildbachstrasse 17,8008,Zurich,CH,
ARTICOLO BOUTIQUE,Stansstaderstrasse 16,6370,Stans,CH,
BOUTIQUE NORDBERG,St. Jakobs-Strasse 55,4132,Muttenz,CH,
Beckers GMBH,Fabrikstrasse 22,8152,Glattbrugg,CH,
AMARYLLIS,687 Great Western Rd,G12 8RA,Glasgow,GB,
WHITE FEATHER,294 Milkwood Rd,SE24 0EZ,London,GB,
MERCADO,25 Bridge Road,KT8 9EU,London,GB,
FANNY & FRANK,6-8 Market Hill,IP12 4LU,Suffolk,GB,
Woven,50 Brunswick St W,BN3 1EL,Brighton and Hove,GB,
Salt Society (St.Ives),Westcotts Quay,TR26 2DY,St.Ives,GB,
ATTIC,3 Crescent Courtyard,LS29 8DE,Ilkley,GB,
QUATTRO RISH,"Georgian Court, 9 Church St",RH2 0AA,Reigate,GB,
AVENUE,"36 Dunville Avenue,",D06 R520,Dublin 6,IE,
PLACE,Place Ballyfad Gorey,Y25VE27,Wexford,IE,
ISKIA,Jordan’s Courtyard,TA19 9PY.,Ilminster,GB,
UNCOMMON,"38B High Street Wimbledon,",SW19 5BY,London,GB,
Tuula,39 London Road,SK9 7JT,Alderley Edge,GB,
KJ's Laundry,74 Marylebone Lane,W1U 2PW,London,GB,
Salt Society,19 North St,"PL23 1DB,",Fowey,GB,
URSULA & ODETTE,"109 Rectory Grove, Leigh-on-Sea, Southend-on-Sea",SS9 2HW,Leigh-on-Sea,GB,
THE MERCANTILE,"17 Lamb Street, Spitalfields",E1 6EA,London,GB,
COLLEN & CLARE,"25, Market Place",IP18 6ED,Southwold,GB,
SMS - SOMEWHERE AGENCY,"3 - 4 The Stableyard, Broomgrove Road",SW9 9TL,London,GB,
Amelie,"264 High Street, Berkhamsted",HP4 1AL,Hertfordshire,GB,
The Jacksons,5 All Saints Rd,W11 1HA,London,GB,
MANNA,7 West Centre,JE2 4ST,St Helier,IE,
ARIA BOUTIQUE,"7 Poplar Square, Naas",W91 X850,Co. Kildare,IE,
MUSE,92 The Quay,X91 WV 06,Waterford,IE,
SOMEWHERE AGENCY,"3 - 4 The Stableyard, Broomgrove Road",SW9 9TL,London,GB,
Heavenly shops Knokke,Dumortierlaan 47,8300,Knokke,BE,
Zapato (bvba),Leistraat 44,2460,Lichtaart,BE,
Agathe,Rue Haute 21,4600,Visé,BE,
Fleury De Bock,Gentsebaan 40,9100,Sint-Niklaas,BE,
Edith Of Oxford,Statielei,2640,Mortsel,BE,
Klup SRL,"Chaussée de Theuse 42 B,",4802,Heusy,BE,
Pimprenelle,rue De Genleau 1,1380,Lasne,BE,
Manufactuur,Lembergsesteenweg 134,9820,Merelbeke,BE,
Deleye,Brugsesteenweg 550,8800,Roeselare,BE,
Pvl Invest,Mechelsestraat 20,3000,Leuven,BE,
Joy by Nina BV,Albert 1 laan 108,8620,Nieuwpoort,BE,
Dresscode,Wijnegemsesteenweg 39,2970,s Gravenwezel,BE,
De Heppie Store,Kroonstraat 30,1750,Lennik,BE,
Cape Cod,Straat Rue Saint-Adalbert 18,4000,plaats Liège 1,BE,
N.OEUF BV,Aldestraat 59,3500,Hasselt,BE,
Ritrovo BV,Belgiëlei 153 bus 302,2018,Antwerpen,BE,
Studios 1307 fashion agency,Eglantierlaan 61,2610,Antwerpen,BE,
BABY BELUGA,Volkstraat 1-3,2000,Antwerpen,BE,
MARKARINO LA BOTTEGA,Paardsemerstraat 9,3500,HASSELT,BE,
MIROIR,Spiegelstraat 9,3300,Tienen,BE,
Marcelle,GENTSTRAAT 63,9800,Deinze,BE,
PAR TERRE,K. Maenhoutstraat 12 b 2,9830,Sint-Martens-Latem,BE,
MARGARETA,Dorpshart 12,2870,PUURS,BE,
SCOUTT,Bredabaan 164,2930,Brasschaat,BE,
Mvan N.v.,Steenhouwersvest 33,2000,Antwerp,BE,
home/Malone,Hovedgaden 49,2970,Hørsholm,DK,
Vanilia,Sct. Mathis Gade 66,8800,Viborg,DK,
1,Toldbodvej 45,4581,Rørvig,DK,
Hos Mette,Marielyst Strandvej 55,4873,Væggerløse,DK,
Salt by Torvet 14 Aps,Torvegade 3,6950,Ringkøbing,DK,
Marie Lahn,Kongensgade 53,6700,Esbjerg,DK,
Bahne Vejle,Østerbrogade 70,2100,København Ø,DK,
Bahne Rødovre,Østerbrogade 70,2100,København Ø,DK,
Bahne Esbjerg,Østerbrogade 70,2100,København Ø,DK,
Ofelia v/Lea Hvid Akselbo,Algade 8,4500,Nykøbing Sj.,DK,
Busted Silkeborg,Vestergade 7,8600,Silkeborg,DK,
Bahne Sønderborg afd. 5,Østerbrogade 70,2100,København Ø,DK,
Bahne Fields afd. 12,Østerbrogade 70,2100,København Ø,DK,
"Bahne City 2, afd. 23",Østerbrogade 70,2100,København Ø,DK,
Bahne Kalundborg afd. 4,Østerbrogade 70,2100,København Ø,DK,
Bahne Hellerup afd. 17,Østerbrogade 70,2100,København Ø,DK,
Bahne Horsens afd. 13,Østerbrogade 70,2100,København Ø,DK,
Bahne Fisketorvet afd. 9,Østerbrogade 70,2100,København Ø,DK,
Bahne Hjørring afd. 14,Østerbrogade 70,2100,København Ø,DK,
"Bahne Lyngby, afd. 7",Østerbrogade 70,2100,København Ø,DK,
Bahne Frederiksbergcentret afd. 22,Østerbrogade 70,2100,København Ø,DK,
Mopshop,Sct Laurentiivej 61,9990,Skagen,DK,
Svane,Aavej 20,8305,Samsø,DK,
Tip Top Holstebro ApS,Nørregade 5,7500,Holstebro,DK,
